ncm;artigo;pagina;trecho
90223000;143;41;"0 8439.30.10 8462.22.00 8479.89.12 9017.30.90 8412.29.00 8439.91.00 8462.23.00 8479.89.99 9017.80.90 8412.39.00 8439.99.10 8462.24.00 8479.90.90 9022.19.99 8412.90.80 8439.99.90 8462.25.00 8480.30.00 9022.30.00 8413.50.10 8440.10.90 8462.26.00 8480.41.00 9024.10.20 8413.50.90 8441.10.90 8462.29.00 8480.49.10 9024.80.21"
84135010;143;41;"0 8462.22.00 8479.89.12 9017.30.90 8412.29.00 8439.91.00 8462.23.00 8479.89.99 9017.80.90 8412.39.00 8439.99.10 8462.24.00 8479.90.90 9022.19.99 8412.90.80 8439.99.90 8462.25.00 8480.30.00 9022.30.00 8413.50.10 8440.10.90 8462.26.00 8480.41.00 9024.10.20 8413.50.90 8441.10.90 8462.29.00 8480.49.10 9024.80.21 8413.60.11"
84401090;143;41;"0 8479.89.12 9017.30.90 8412.29.00 8439.91.00 8462.23.00 8479.89.99 9017.80.90 8412.39.00 8439.99.10 8462.24.00 8479.90.90 9022.19.99 8412.90.80 8439.99.90 8462.25.00 8480.30.00 9022.30.00 8413.50.10 8440.10.90 8462.26.00 8480.41.00 9024.10.20 8413.50.90 8441.10.90 8462.29.00 8480.49.10 9024.80.21 8413.60.11 8441.40.00"
84622600;143;41;"2 9017.30.90 8412.29.00 8439.91.00 8462.23.00 8479.89.99 9017.80.90 8412.39.00 8439.99.10 8462.24.00 8479.90.90 9022.19.99 8412.90.80 8439.99.90 8462.25.00 8480.30.00 9022.30.00 8413.50.10 8440.10.90 8462.26.00 8480.41.00 9024.10.20 8413.50.90 8441.10.90 8462.29.00 8480.49.10 9024.80.21 8413.60.11 8441.40.00 8462.42.00"
84804100;143;41;"0 8412.29.00 8439.91.00 8462.23.00 8479.89.99 9017.80.90 8412.39.00 8439.99.10 8462.24.00 8479.90.90 9022.19.99 8412.90.80 8439.99.90 8462.25.00 8480.30.00 9022.30.00 8413.50.10 8440.10.90 8462.26.00 8480.41.00 9024.10.20 8413.50.90 8441.10.90 8462.29.00 8480.49.10 9024.80.21 8413.60.11 8441.40.00 8462.42.00 8480.49.90"
90241020;143;41;"0 8439.91.00 8462.23.00 8479.89.99 9017.80.90 8412.39.00 8439.99.10 8462.24.00 8479.90.90 9022.19.99 8412.90.80 8439.99.90 8462.25.00 8480.30.00 9022.30.00 8413.50.10 8440.10.90 8462.26.00 8480.41.00 9024.10.20 8413.50.90 8441.10.90 8462.29.00 8480.49.10 9024.80.21 8413.60.11 8441.40.00 8462.42.00 8480.49.90 9024.80.29"
84135090;143;41;"0 8462.23.00 8479.89.99 9017.80.90 8412.39.00 8439.99.10 8462.24.00 8479.90.90 9022.19.99 8412.90.80 8439.99.90 8462.25.00 8480.30.00 9022.30.00 8413.50.10 8440.10.90 8462.26.00 8480.41.00 9024.10.20 8413.50.90 8441.10.90 8462.29.00 8480.49.10 9024.80.21 8413.60.11 8441.40.00 8462.42.00 8480.49.90 9024.80.29 8413.60.90"
84411090;143;41;"0 8479.89.99 9017.80.90 8412.39.00 8439.99.10 8462.24.00 8479.90.90 9022.19.99 8412.90.80 8439.99.90 8462.25.00 8480.30.00 9022.30.00 8413.50.10 8440.10.90 8462.26.00 8480.41.00 9024.10.20 8413.50.90 8441.10.90 8462.29.00 8480.49.10 9024.80.21 8413.60.11 8441.40.00 8462.42.00 8480.49.90 9024.80.29 8413.60.90 8441.80.00"
84622900;143;41;"9 9017.80.90 8412.39.00 8439.99.10 8462.24.00 8479.90.90 9022.19.99 8412.90.80 8439.99.90 8462.25.00 8480.30.00 9022.30.00 8413.50.10 8440.10.90 8462.26.00 8480.41.00 9024.10.20 8413.50.90 8441.10.90 8462.29.00 8480.49.10 9024.80.21 8413.60.11 8441.40.00 8462.42.00 8480.49.90 9024.80.29 8413.60.90 8441.80.00 8462.49.00"
84804910;143;41;"0 8412.39.00 8439.99.10 8462.24.00 8479.90.90 9022.19.99 8412.90.80 8439.99.90 8462.25.00 8480.30.00 9022.30.00 8413.50.10 8440.10.90 8462.26.00 8480.41.00 9024.10.20 8413.50.90 8441.10.90 8462.29.00 8480.49.10 9024.80.21 8413.60.11 8441.40.00 8462.42.00 8480.49.90 9024.80.29 8413.60.90 8441.80.00 8462.49.00 8480.60.00"
